Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe		1,896 K	7,028 K	1248	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,140 K	8,216 K	4872	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		7,968 K	31,644 K	4664	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,636 K	12,684 K	6908	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.02	30,940 K	39,120 K	4628	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,948 K	10,124 K	5768	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	10,088 K	20,716 K	5772	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	18.39	162,660 K	185,168 K	4324	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,892 K	13,252 K	5496	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,708 K	11,980 K	3168	Host Process for Windows Services	Microsoft Corporation
 lsass.exe	0.07	6,996 K	17,440 K	656	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,356 K	3,576 K	852		
csrss.exe	0.46	1,764 K	4,680 K	508		
winlogon.exe		2,500 K	10,708 K	560		
 fontdrvhost.exe	0.01	2,152 K	5,876 K	844		
 dwm.exe	2.56	62,744 K	111,868 K	352		
explorer.exe	0.95	43,560 K	123,924 K	5244	Windows Explorer	Microsoft Corporation
 MSASCuiL.exe		1,876 K	9,204 K	2716	Windows Defender notification icon	Microsoft Corporation
 Taskmgr.exe	0.26	20,728 K	42,692 K	924		
 procexp64.exe	4.88	18,100 K	53,292 K	4120	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
OneDrive.exe		25,904 K	61,428 K	7328	Microsoft OneDrive	Microsoft Corporation
chrome.exe	0.01	68,096 K	175,360 K	4472	Google Chrome	Google Inc.
 chrome.exe		2,004 K	8,308 K	7868	Google Chrome	Google Inc.
 chrome.exe		1,896 K	8,948 K	5444	Google Chrome	Google Inc.
 chrome.exe		14,744 K	21,440 K	6016	Google Chrome	Google Inc.
 chrome.exe		28,860 K	48,500 K	8072	Google Chrome	Google Inc.
 chrome.exe		46,060 K	69,648 K	4608	Google Chrome	Google Inc.
 chrome.exe	< 0.01	43,768 K	112,532 K	3520	Google Chrome	Google Inc.
 chrome.exe		40,540 K	71,496 K	4296	Google Chrome	Google Inc.
 chrome.exe	0.01	42,044 K	81,828 K	3000	Google Chrome	Google Inc.
 chrome.exe		13,580 K	21,892 K	3124	Google Chrome	Google Inc.
GoogleCrashHandler.exe		1,608 K	80 K	6204		
GoogleCrashHandler64.exe		1,584 K	80 K	6636		

